iter	Passed	Remaining
470	698	784
471	699	782
472	701	781
473	703	780
474	704	779
475	705	776
476	706	774
477	707	772
478	707	769
479	708	767
480	709	765
481	709	762
482	710	760
483	711	758
484	712	756
485	713	754
486	714	753
487	716	751
488	718	750
489	719	749
490	720	747
491	721	745
492	722	742
493	723	740
494	723	738
495	724	736
496	725	734
497	726	731
498	726	729
499	729	729
500	734	731
501	735	729
502	736	728
503	738	726
504	739	724
505	740	723
506	744	723
507	745	721
508	748	722
509	749	720
510	751	718
511	752	716
512	753	715
513	754	713
514	755	711
515	756	709
516	758	708
517	760	707
518	762	706
519	763	704
520	764	702
521	765	700
522	765	698
523	766	696
524	767	694
525	768	692
526	768	689
527	769	687
528	770	686
529	771	684
530	773	682
531	775	682
532	776	680
533	778	679
534	779	677
535	779	675
536	780	673
537	781	670
538	781	668
539	782	666
540	783	664
541	783	662
542	785	661
543	787	660
544	788	658
545	791	658
546	792	656
547	793	654
548	793	652
549	794	650
550	795	647
551	795	645
552	796	643
553	796	641
554	797	639
555	797	637
556	798	635
557	799	633
558	800	631
559	801	629
560	802	628
561	803	626
562	804	624
563	805	622
564	806	620
565	806	618
566	807	616
567	808	614
568	808	612
569	809	610
570	810	608
571	811	606
572	811	604
573	812	602
574	813	600
575	813	598
576	814	597
577	816	596
578	818	595
579	820	594
580	821	592
581	822	590
582	823	588
583	824	587
584	825	585
585	826	583
586	827	582
587	828	580
588	829	578
589	831	577
590	832	576
591	835	575
592	835	573
593	837	572
594	837	570
595	838	568
596	839	566
597	840	564
598	841	563
599	841	561
600	842	559
601	843	557
602	844	555
603	846	554
604	847	553
605	848	551
606	849	550
607	850	548
608	851	546
609	852	544
610	853	543
611	853	541
612	854	539
613	855	537
614	855	535
615	856	534
616	857	532
617	858	530
618	859	529
619	861	527
620	862	526
621	862	524
622	863	522
623	864	520
624	864	518
625	865	517
626	866	515
627	866	513
628	867	511
629	867	509
630	868	507
631	868	505
632	869	504
633	870	502
634	870	500
635	871	498
636	871	496
637	872	495
638	873	493
639	874	492
640	876	490
641	877	489
642	877	487
643	878	485
644	879	483
645	879	482
646	880	480
647	880	478
648	881	476
649	881	474
650	882	473
651	883	471
652	883	469
653	884	467
654	884	466
655	885	464
656	886	462
657	886	460
658	887	459
659	888	457
660	889	456
661	890	454
662	891	452
663	891	451
664	892	449
665	892	447
666	893	446
667	894	444
668	894	442
669	895	440
670	895	439
671	896	437
672	897	435
673	897	434
674	898	432
675	899	430
676	899	429
677	900	427
678	900	425
679	901	424
680	901	422
681	903	421
682	904	419
683	905	418
684	906	416
685	907	415
686	907	413
687	908	412
688	909	410
689	910	408
690	911	407
691	911	405
692	912	404
693	913	402
694	913	400
695	914	399
696	914	397
697	915	396
698	916	394
699	917	393
700	918	391
701	919	390
702	920	388
703	920	387
704	921	385
705	922	384
706	922	382
707	923	380
708	924	379
709	924	377
710	925	376
711	926	374
712	926	372
713	927	371
714	928	369
715	928	368
716	929	366
717	930	365
718	930	363
719	931	362
720	932	360
721	933	359
722	934	358
723	935	356
724	936	355
725	937	353
726	937	352
727	938	350
728	939	349
729	940	347
730	940	346
731	941	344
732	942	343
733	942	341
734	943	340
735	944	338
736	944	337
737	945	335
738	946	334
739	947	332
740	948	331
741	950	330
742	951	328
743	951	327
744	952	326
745	953	324
746	954	323
747	954	321
748	955	320
749	956	318
750	956	317
751	957	315
752	958	314
753	958	312
754	959	311
755	961	310
756	962	309
757	963	307
758	965	306
759	967	305
760	968	304
761	968	302
762	969	301
763	970	299
764	970	298
765	971	296
766	972	295
767	972	293
768	973	292
769	974	291
770	974	289
771	975	288
772	977	287
773	978	285
774	980	284
775	982	283
776	983	282
777	984	280
778	984	279
779	985	277
780	986	276
781	987	275
782	988	273
783	988	272
784	989	270
785	990	269
786	992	268
787	993	267
788	995	266
789	997	265
790	998	263
791	999	262
792	1000	261
793	1000	259
794	1001	258
795	1002	256
796	1002	255
797	1003	254
798	1004	252
799	1005	251
800	1007	250
801	1009	249
802	1010	247
803	1011	246
804	1012	245
805	1013	243
806	1013	242
807	1014	241
808	1015	239
809	1016	238
810	1017	237
811	1018	235
812	1018	234
813	1019	233
814	1021	231
815	1022	230
816	1026	229
817	1028	228
818	1029	227
819	1030	226
820	1030	224
821	1031	223
822	1032	222
823	1032	220
824	1033	219
825	1035	218
826	1037	216
827	1039	215
828	1041	214
829	1042	213
830	1044	212
831	1045	211
832	1046	209
833	1047	208
834	1048	207
835	1049	205
836	1051	204
837	1053	203
838	1057	202
839	1058	201
840	1059	200
841	1059	198
842	1060	197
843	1061	196
844	1061	194
845	1062	193
846	1063	192
847	1065	190
848	1069	190
849	1071	189
850	1072	187
851	1073	186
852	1074	185
853	1074	183
854	1075	182
855	1076	181
856	1076	179
857	1078	178
858	1080	177
859	1081	176
860	1083	174
861	1085	173
862	1086	172
863	1087	171
864	1087	169
865	1088	168
866	1089	167
867	1089	165
868	1090	164
869	1091	163
870	1091	161
871	1093	160
872	1094	159
873	1096	158
874	1099	157
875	1101	155
876	1101	154
877	1102	153
878	1103	151
879	1103	150
880	1104	149
881	1105	147
882	1105	146
883	1106	145
884	1107	143
885	1108	142
886	1109	141
887	1110	140
888	1114	139
889	1116	138
890	1117	136
891	1118	135
892	1118	134
893	1119	132
894	1120	131
895	1121	130
896	1122	128
897	1123	127
898	1126	126
899	1128	125
900	1130	124
901	1131	122
902	1131	121
903	1132	120
904	1133	118
905	1134	117
906	1134	116
907	1135	115
908	1136	113
909	1138	112
910	1140	111
911	1142	110
912	1144	109
913	1144	107
914	1145	106
915	1146	105
916	1146	103
917	1147	102
918	1148	101
919	1149	99
920	1149	98
921	1150	97
922	1151	96
923	1152	94
924	1153	93
925	1156	92
926	1158	91
927	1159	89
928	1160	88
929	1160	87
930	1161	86
931	1162	84
932	1162	83
933	1163	82
934	1164	80
935	1164	79
936	1165	78
937	1168	77
938	1170	76
939	1172	74
940	1173	73
941	1174	72
